title,box_off_num
용서는 없다,170657.3
아빠가 여자를 좋아해,2148306.0
하모니,447374.34
의형제,1028022.1
평행 이론,1003873.8
회오리 바람,8.357614
경계도시 2,2299.7988
이웃집 남자,6.9477196
아마존의 눈물 극장판,18.814476
반가운 살인자,6.6401024
집 나온 남자들,382637.16
베스트셀러,338766.88
작은 연못,11.596805
경,2360.7712
대한민국 1%,425059.06
포화 속으로,1606286.8
나쁜 놈이 더 잘 잔다,868.392
맨발의 꿈,1165561.9
요술,81957.3
마법천자문: 대마왕의 부활을 막아라,159099.61
인플루언스,4.5060716
미스터 좀비,1120.7491
김복남 살인사건의 전말,457.8254
엄지아빠,32.748024
탈주,2.109121
해결사,172941.05
할,1555.1526
된장,473808.94
조금만 더 가까이,2093.3638
우리 만난 적 있나요,4.886911
쩨쩨한 로맨스,1213589.9
용서,117355.96
브라보! 재즈 라이프,1991.7511
카페 느와르,523.9847
오래된 인력거,2925.8914
창피해,4446.8115
"양 한 마리, 양 두 마리",1045.2325
하얀 정글,2094.4475
다슬이,1351.2396
REC 알이씨,0.83863854
량강도 아이들,3.5505238
티끌모아 로맨스,89405.66
더 킥,556781.5
커플즈,1041906.3
오늘,708331.44
완득이,804780.2
은어,5.6969886
고래를 찾는 자전거,7.4414682
도가니,501291.8
겨울냄새,126.49277
환타스틱 모던가야그머,2584.3716
블라인드,264557.06
링크,1988.782
퀵,1102131.9
모비딕,1125227.2
굿바이 보이,5.463447
종로의 기적,6982.896
회초리,751693.0
체포왕,1826006.8
세상에서 가장 아름다운 이별,672056.0
나는 아빠다,383897.8
수상한 고객들,4668533.0
수상한 이웃들,4928.574
돌아오는 길,934.29083
우리 이웃의 범죄,3125.6848
엄마는 창녀다,1.8389192
위험한 상견례,472172.88
간증,2860.3772
"사랑한다, 사랑하지 않는다",309013.3
"혜화, 동",19847.611
글러브,714635.56
가문의 귀환,83376.984
잔혹한 앵글의 로망스,32.4544
나의 PS 파트너,1024973.7
롤플레이,465.40878
마티나,334.63342
음치 클리닉,684776.75
남영동1985,505612.94
돈 크라이 마미,47885.98
반드시 크게 들을 것 2 : Wild Days,3394.7227
범죄소년,12184.324
내가 살인범이다,3832353.5
터치,1884.4532
늑대소년,2020047.2
맥코리아,2457.254
용의자X,2141878.2
하나안,1622.6101
투 올드 힙합 키드,10249.47
한경직,897.12665
미운오리새끼,94290.234
황제펭귄 펭이와 솜이,621.65485
두 개의 문,2505.3074
I AM,624869.5
후궁 : 제왕의 첩,3216352.8
"안녕, 하세요!",74857.24
천국의 아이들,3.9800243
할머니는 일학년,8584.18
두레소리,8.336897
"봄, 눈",867123.1
은교,784694.06
간기남,1009205.2
시체가 돌아왔다,2524818.5
말하는 건축가,1357.7594
밀월도 가는 길,1157.1882
파파,1786332.4
점박이:한반도의 공룡3D,50499.938
댄싱퀸,2753578.0
누구의 딸도 아닌 해원,5129.0
신세계,4561891.5
굿바이 홈런,3367.5164
불륜의 시대,1498.7977
남쪽으로 튀어,2188693.8
좋은 친구들,1132291.0
지슬 - 끝나지 않은 세월 2,4536.7
누구나 제 명에 죽고 싶다,9803.152
사이코메트리,896606.25
환상속의 그대,3765.6743
몽타주,1963351.0
"힘내세요, 병헌씨",3705.4285
꼭두각시,34646.37
홀리,1133.6489
마이 라띠마,1571594.6
더 테러 라이브,920184.3
슈퍼피쉬 - 끝없는 여정,585.0524
콩가네,8.263806
허풍,1672.6655
젊은 엄마,548.4913
노라노,18168.66
노브레싱,16905.76
말하는 건축 시티:홀,2862.995
댄서김의 은밀한 교수법,0.32622218
소원,2488134.2
고양이 소녀,349.1769
롤플레이 2 : 동침,65.12402
동창생,3985906.5
용의자,5507916.0
미녀전쟁,1838.9194
캐치미,964792.9
그 강아지 그 고양이,102408.29
화려한 외출,2.2339993
오하이오 삿포로,360.26602
마이 리틀 히어로,1736066.6
박수건달,5867363.5
배꼽,22.597527
나가요 미스콜,989.25836
우아한 거짓말,34184.508
미스터 컴퍼니,5280.8667
우리별 일호와 얼룩소,1776.404
찌라시: 위험한 소문,1023021.56
조선미녀삼총사,4022869.2
만찬,6608.2256
한 번도 안 해본 여자,1482.6108
살인자,6.3993163
  이것이 우리의 끝이다,4040.1558
그댄 나의 뱀파이어,984.8946
황제를 위하여,57.750767
레디액션! 폭력영화,4118.053
스퀴시랜드,32789.023
우는 남자,3686853.0
하이힐,1755186.2
도희야,5244.418
표적,158967.06
10분,46598.4
메이크 유어 무브,67609.21
카토 프로젝트,658.2889
녀녀녀,1482.9109
방황하는 칼날,2489311.5
바리새인,4.323255
욕망의 독: 중독,1193.9724
설계,3247.2966
레쓰링,1391.1918
원 컷 - 어느 친절한 살인자의 기록,1040.3738
픽업 아티스트,832.8931
옹녀뎐,2.5956664
왓니껴,1271.7052
족구왕,14435.591
내 연애의 기억,8.290171
바세코의 아이들,2310.9712
명량,8462955.0
군도: 민란의 시대,2790945.2
산타바바라,10338.046
나는 야한 여자가 좋다,347.01358
숙희,861.0959
더 테너 리리코 스핀토,1146.0066
기술자들,374423.03
신화 라이브 3D 더 레전드 컨티뉴스,3665.0115
악사들,4967.735
울언니,3213.2087
정사: 위험한 성적유희,546.942
레디액션 청춘,185940.84
"제자, 옥한흠",3954.426
환상,568.2251
위층여자,213.25093
가자! 장미여관으로 3 - 방황,1487.4548
나는 야한 여자가 좋다 3,347.01358
스물,837542.44
그라운드의 이방인,3308.0671
살인의뢰,723096.0
살인캠프,1316.5929
헬머니,2081010.5
조류인간,14.334298
최강전사 미니특공대 : 새로운 악당의 습격,7315.6245
생각보다 맑은,4.0600443
고양이 장례식,7235.378
설해,22486.69
나의 절친 악당들,1621171.6
연평해전,1002984.8
극비수사,1034332.6
성난 화가,2619.2651
은밀한 유혹,3525549.8
혜경궁 홍씨,2318.5176
무뢰한,791418.94
간신,2443924.2
연애의 맛,19.18127
잡식가족의 딜레마,8504.511
플랑크 상수,225.02373
장수상회,888439.25
파울볼,20021.244
춘희막이,5.075059
덫: 치명적인 유혹,2064.1594
션샤인 러브,79218.35
사도,1642388.4
돼지 같은 여자,121012.93
사랑이 이긴다,43079.797
슈퍼레이서 엔지,2037.2207
제 7기사단,5.974361
고백,4.181497
미쓰 와이프,690604.44
위로공단,10256.696
베테랑,2187927.8
악인은 살아 있다,9398.76
쓰리 썸머 나잇,372759.88
마돈나,94947.24
"나의 아들, 나의 어머니",2623.6794
슬픈남자,3.0060883
타이밍,9951.052
타투,21.702291
어떤이의 꿈,339.6907
해에게서 소년에게,5.3440294
울보 권투부,1280.8942
어떤살인,12.718236
말하지 못한 비밀,15.693502
조선안방 스캔들-칠거지악 2,368.82227
