title,box_off_num
용서는 없다,150376.52
아빠가 여자를 좋아해,635632.94
하모니,399990.1
의형제,2652113.5
평행 이론,874889.7
회오리 바람,3.550169
경계도시 2,2407.8535
이웃집 남자,2.6170993
아마존의 눈물 극장판,12.353315
반가운 살인자,2.825277
집 나온 남자들,254679.81
베스트셀러,148977.62
작은 연못,4.4484477
경,1274.2786
대한민국 1%,1000290.1
포화 속으로,1726546.4
나쁜 놈이 더 잘 잔다,1705.3673
맨발의 꿈,1270751.1
요술,34133.2
마법천자문: 대마왕의 부활을 막아라,34718.88
인플루언스,4.8696027
미스터 좀비,1562.238
김복남 살인사건의 전말,401.51358
엄지아빠,46.47533
탈주,2.1364884
해결사,405202.5
할,2618.4644
된장,595340.4
조금만 더 가까이,4478.619
우리 만난 적 있나요,3.0246816
쩨쩨한 로맨스,1604299.6
용서,88796.91
브라보! 재즈 라이프,2776.5742
카페 느와르,3160.237
오래된 인력거,2340.217
창피해,1200.0511
"양 한 마리, 양 두 마리",808.1759
하얀 정글,1925.1017
다슬이,1990.1782
REC 알이씨,2.4467902
량강도 아이들,1.2819831
티끌모아 로맨스,28938.275
더 킥,1435291.1
커플즈,1787842.4
오늘,426450.53
완득이,364786.66
은어,4.8202453
고래를 찾는 자전거,1.9974592
도가니,45604.523
겨울냄새,170.64832
환타스틱 모던가야그머,1816.407
블라인드,522992.38
링크,1934.0404
퀵,1128552.4
모비딕,1005229.44
굿바이 보이,8.261445
종로의 기적,8655.69
회초리,1217111.1
체포왕,1768481.8
세상에서 가장 아름다운 이별,1586394.0
나는 아빠다,549903.94
수상한 고객들,3486510.2
수상한 이웃들,10653.686
돌아오는 길,561.0652
우리 이웃의 범죄,8107.3403
엄마는 창녀다,3.1303697
위험한 상견례,471188.66
간증,11630.876
"사랑한다, 사랑하지 않는다",679931.3
"혜화, 동",12966.933
글러브,631409.8
가문의 귀환,48169.64
잔혹한 앵글의 로망스,27.764385
나의 PS 파트너,1523972.5
롤플레이,675.2623
마티나,197.64014
음치 클리닉,261754.05
남영동1985,38504.617
돈 크라이 마미,52561.973
반드시 크게 들을 것 2 : Wild Days,4418.828
범죄소년,19306.059
내가 살인범이다,2096964.1
터치,3435.5762
늑대소년,1533280.6
맥코리아,2422.005
용의자X,3682952.2
하나안,2066.245
투 올드 힙합 키드,5080.3
한경직,1590.2898
미운오리새끼,167994.67
황제펭귄 펭이와 솜이,1026.2356
두 개의 문,3824.9944
I AM,501017.94
